Catégorie : Toutes catégories

Semaine,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2012-08-05,6,17,4,2,6
2012-08-12,7,18,4,2,6
2012-08-19,7,17,4,2,5
2012-08-26,8,18,4,2,6
2012-09-02,11,19,4,2,5
2012-09-09,13,19,4,2,5
2012-09-16,16,19,4,2,5
2012-09-23,17,18,4,2,5
2012-09-30,22,20,4,2,5
2012-10-07,23,18,4,2,5
2012-10-14,26,31,4,3,5
2012-10-21,21,21,4,2,5
2012-10-28,20,20,4,2,5
2012-11-04,19,20,4,2,5
2012-11-11,22,20,4,3,4
2012-11-18,20,18,4,3,5
2012-11-25,21,19,4,3,5
2012-12-02,22,19,4,2,6
2012-12-09,18,18,4,3,5
2012-12-16,17,19,3,3,5
2012-12-23,21,21,3,3,5
2012-12-30,28,23,3,4,6
2013-01-06,98,23,4,4,6
2013-01-13,100,25,4,4,5
2013-01-20,69,28,4,4,5
2013-01-27,52,29,4,4,5
2013-02-03,34,28,4,4,5
2013-02-10,26,23,4,3,5
2013-02-17,24,25,4,3,6
2013-02-24,22,20,4,3,5
2013-03-03,18,20,4,3,5
2013-03-10,16,21,4,3,5
2013-03-17,14,24,4,3,5
2013-03-24,13,21,4,3,5
2013-03-31,13,20,4,3,5
2013-04-07,13,17,4,3,5
2013-04-14,11,20,3,3,5
2013-04-21,11,19,4,3,5
2013-04-28,11,23,4,3,5
2013-05-05,8,23,4,2,5
2013-05-12,8,20,4,2,5
2013-05-19,8,19,4,2,5
2013-05-26,7,20,4,2,5
2013-06-02,7,19,4,2,5
2013-06-09,6,18,4,2,5
2013-06-16,6,19,4,2,5
2013-06-23,6,21,4,2,5
2013-06-30,5,20,4,2,5
2013-07-07,5,20,4,2,5
2013-07-14,5,18,4,2,6
2013-07-21,6,18,4,2,6
2013-07-28,6,18,4,2,5
2013-08-04,6,18,4,2,5
2013-08-11,6,17,4,2,6
2013-08-18,7,18,5,2,6
2013-08-25,8,18,4,2,5
2013-09-01,10,18,5,2,5
2013-09-08,13,19,4,2,5
2013-09-15,16,18,4,2,5
2013-09-22,21,19,4,3,5
2013-09-29,25,19,4,3,5
2013-10-06,24,19,4,3,5
2013-10-13,24,19,4,3,5
2013-10-20,25,19,5,3,5
2013-10-27,23,18,4,3,5
2013-11-03,22,19,5,3,5
2013-11-10,22,20,4,3,5
2013-11-17,19,18,4,3,5
2013-11-24,16,18,4,3,5
2013-12-01,17,18,4,3,4
2013-12-08,17,22,4,3,5
2013-12-15,20,21,4,3,5
2013-12-22,25,23,4,4,6
2013-12-29,41,26,4,5,6
2014-01-05,73,28,4,4,6
2014-01-12,75,24,5,4,5
2014-01-19,58,27,5,4,6
2014-01-26,50,26,5,4,5
2014-02-02,34,22,4,3,5
2014-02-09,24,19,4,3,5
2014-02-16,18,21,5,3,5
2014-02-23,16,23,4,3,5
2014-03-02,13,19,5,3,5
2014-03-09,11,21,5,3,4
2014-03-16,10,20,5,3,5
2014-03-23,10,22,4,3,5
2014-03-30,10,21,4,2,5
2014-04-06,9,21,5,2,5
2014-04-13,9,21,4,3,5
2014-04-20,9,21,4,2,5
2014-04-27,9,23,4,3,5
2014-05-04,8,22,4,2,5
2014-05-11,8,21,4,3,5
2014-05-18,8,21,4,2,5
2014-05-25,7,20,4,2,5
2014-06-01,8,22,5,2,5
2014-06-08,7,19,4,2,5
2014-06-15,6,19,4,2,5
2014-06-22,6,19,5,2,5
2014-06-29,6,19,5,2,6
2014-07-06,6,18,4,2,5
2014-07-13,6,19,4,2,5
2014-07-20,6,18,5,1,5
2014-07-27,6,20,4,2,5
2014-08-03,7,19,4,2,5
2014-08-10,6,18,5,2,5
2014-08-17,7,18,5,2,5
2014-08-24,8,18,4,2,5
2014-08-31,10,19,4,2,5
2014-09-07,14,20,4,2,6
2014-09-14,17,20,4,2,5
2014-09-21,21,19,4,2,5
2014-09-28,28,19,5,3,5
2014-10-05,29,20,4,2,5
2014-10-12,31,22,4,2,5
2014-10-19,32,21,5,3,5
2014-10-26,23,21,4,3,5
