Catégorie : Toutes catégories

Semaine,flu: (Californie),bronchitis: (Californie),pneumonia: (Californie),flu symptoms: (Californie),headache: (Californie)
2013-02-24,22,6,8,4,11
2013-03-03,18,5,8,4,10
2013-03-10,16,5,7,3,10
2013-03-17,14,4,7,3,10
2013-03-24,13,4,6,3,10
2013-03-31,13,4,6,3,10
2013-04-07,13,4,6,2,10
2013-04-14,11,3,5,2,9
2013-04-21,11,4,5,2,10
2013-04-28,11,3,5,2,9
2013-05-05,8,4,6,1,9
2013-05-12,8,3,5,1,9
2013-05-19,8,3,5,1,8
2013-05-26,7,3,5,2,9
2013-06-02,7,3,5,1,10
2013-06-09,6,3,4,1,9
2013-06-16,6,3,5,1,10
2013-06-23,6,3,4,1,10
2013-06-30,5,3,4,1,10
2013-07-07,5,2,4,1,10
2013-07-14,5,2,4,1,10
2013-07-21,6,2,4,1,10
2013-07-28,6,2,3,1,10
2013-08-04,6,2,4,1,10
2013-08-11,6,2,4,1,11
2013-08-18,7,2,4,1,11
2013-08-25,8,2,4,1,10
2013-09-01,10,3,4,2,10
2013-09-08,13,3,5,2,10
2013-09-15,16,3,5,2,10
2013-09-22,21,3,5,2,10
2013-09-29,25,3,5,2,10
2013-10-06,24,3,6,2,10
2013-10-13,24,3,6,2,10
2013-10-20,25,4,6,3,10
2013-10-27,23,3,6,2,10
2013-11-03,22,4,6,3,10
2013-11-10,22,4,6,3,11
2013-11-17,19,4,7,2,10
2013-11-24,16,4,6,3,10
2013-12-01,17,4,7,3,10
2013-12-08,17,4,6,3,9
2013-12-15,20,5,8,4,10
2013-12-22,25,6,9,5,11
2013-12-29,41,8,11,8,12
2014-01-05,73,8,12,12,12
2014-01-12,75,6,11,12,12
2014-01-19,58,6,10,11,12
2014-01-26,50,6,10,9,11
2014-02-02,34,5,9,6,10
2014-02-09,24,5,8,5,11
2014-02-16,18,5,8,4,12
2014-02-23,16,4,7,3,11
2014-03-02,13,4,6,2,10
2014-03-09,11,4,7,2,11
2014-03-16,10,4,6,2,10
2014-03-23,10,4,6,2,10
2014-03-30,10,4,6,2,10
2014-04-06,9,3,5,2,10
2014-04-13,9,4,6,2,10
2014-04-20,9,4,6,2,10
2014-04-27,9,3,6,1,11
2014-05-04,8,3,5,2,10
2014-05-11,8,3,5,1,11
2014-05-18,8,3,5,1,10
2014-05-25,7,3,5,1,11
2014-06-01,8,3,5,1,11
2014-06-08,7,2,4,1,10
2014-06-15,6,2,4,1,11
2014-06-22,6,3,4,1,11
2014-06-29,6,2,5,1,10
2014-07-06,6,2,4,1,10
2014-07-13,6,2,4,1,10
2014-07-20,6,2,4,1,10
2014-07-27,6,2,4,1,10
2014-08-03,7,2,4,1,10
2014-08-10,6,2,4,1,11
2014-08-17,7,2,4,1,11
2014-08-24,8,2,5,1,10
2014-08-31,10,3,5,1,10
2014-09-07,14,2,5,1,10
2014-09-14,17,2,5,2,10
2014-09-21,21,2,5,2,10
2014-09-28,28,3,6,2,10
2014-10-05,29,3,6,3,11
2014-10-12,31,3,6,3,12
2014-10-19,32,3,6,3,11
2014-10-26,23,3,6,2,10
