Catégorie : Toutes catégories

Mois,flu: (États-Unis),congestion: (États-Unis),fatigue: (États-Unis),sore throat: (États-Unis),runny nose: (États-Unis)
2012-02,8,2,3,4,1
2012-03,7,1,3,4,1
2012-04,4,1,3,4,1
2012-05,4,1,3,4,1
2012-06,3,1,3,3,< 1
2012-07,3,1,3,3,< 1
2012-08,4,1,3,3,1
2012-09,8,1,3,4,1
2012-10,12,1,3,4,1
2012-11,10,2,3,4,1
2012-12,16,2,2,5,1
2013-01,43,2,3,5,1
2013-02,12,2,3,5,1
2013-03,8,2,3,5,1
2013-04,7,1,3,4,1
2013-05,4,1,3,4,1
2013-06,3,1,3,4,< 1
2013-07,3,1,3,3,< 1
2013-08,3,1,3,4,1
2013-09,8,1,3,4,1
2013-10,13,1,3,4,1
2013-11,10,2,3,4,1
2013-12,14,2,2,5,1
2014-01,25,2,3,4,1
2014-02,11,2,3,4,1
2014-03,7,2,3,4,1
2014-04,6,2,3,4,1
2014-05,4,1,3,4,1
2014-06,3,1,3,4,< 1
2014-07,3,1,3,3,< 1
2014-08,4,1,3,4,1
2014-09,9,1,3,4,1
2014-10,17,1,3,4,1
2014-11,11,2,3,5,1
2014-12,21,2,3,6,1
2015-01,20,2,3,5,1
2015-02,12,2,3,5,1
2015-03,9,2,3,5,1
2015-04,8,2,3,4,1
2015-05,5,1,3,4,1
2015-06,4,1,3,4,1
2015-07,3,1,3,3,< 1
2015-08,4,1,3,4,1
2015-09,8,2,3,4,1
2015-10,14,2,3,4,1
2015-11,10,2,3,4,1
2015-12,9,2,3,5,1
2016-01,9,2,3,5,1
2016-02,11,2,3,5,1
2016-03,12,2,3,5,1
2016-04,9,2,3,5,1
2016-05,7,2,3,5,1
2016-06,4,1,3,4,1
2016-07,3,1,3,3,< 1
2016-08,4,1,3,4,1
2016-09,9,2,3,4,1
2016-10,14,2,3,4,1
2016-11,10,2,3,5,1
2016-12,11,2,3,5,1
2017-01,15,3,3,5,1
2017-02,19,3,3,6,1
2017-03,12,2,3,5,1
2017-04,8,2,3,5,1
2017-05,5,2,3,5,1
2017-06,4,1,3,4,1
2017-07,4,1,4,4,1
2017-08,5,1,3,4,1
2017-09,10,2,3,5,1
2017-10,14,2,3,4,1
2017-11,13,2,3,5,1
2017-12,22,3,3,7,1
2018-01,63,3,3,6,1
2018-02,59,3,4,6,1
2018-03,15,2,3,5,1
2018-04,9,2,4,5,1
2018-05,5,2,3,5,1
2018-06,4,2,3,5,1
2018-07,4,1,4,4,1
2018-08,5,1,3,4,1
2018-09,12,2,3,5,1
2018-10,22,2,3,5,1
2018-11,14,2,3,6,1
2018-12,17,3,3,6,1
2019-01,22,3,3,6,2
2019-02,26,3,3,6,1
2019-03,18,3,3,6,1
2019-04,9,2,3,5,1
2019-05,5,2,3,5,1
2019-06,4,2,3,4,1
2019-07,4,1,3,4,1
2019-08,5,2,3,4,1
2019-09,12,2,3,5,1
2019-10,22,2,3,4,1
2019-11,17,2,3,5,1
2019-12,25,3,3,7,1
2020-01,35,3,3,6,1
2020-02,45,3,3,6,1
2020-03,89,3,3,12,3
2020-04,43,2,3,7,1
2020-05,20,1,3,4,1
2020-06,11,1,4,5,1
2020-07,16,2,4,6,1
2020-08,16,2,3,5,1
2020-09,23,2,3,5,1
2020-10,29,2,4,5,2
2020-11,19,2,3,6,2
2020-12,18,3,3,5,2
2021-01,12,2,3,4,1
2021-02,9,2,3,4,1
2021-03,7,2,3,4,1
2021-04,7,2,4,5,1
2021-05,6,2,4,5,2
2021-06,7,2,3,5,1
2021-07,6,3,3,6,2
2021-08,11,3,4,7,2
2021-09,17,3,4,8,2
2021-10,20,3,3,7,2
2021-11,17,3,3,7,2
2021-12,20,4,3,10,2
2022-01,17,5,4,11,2
2022-02,8,3,4,5,2
2022-03,9,3,4,6,2
2022-04,11,3,4,6,2
2022-05,9,3,4,8,2
2022-06,6,3,4,7,1
2022-07,6,3,4,7,1
2022-08,6,3,4,7,1
2022-09,12,3,3,8,2
2022-10,24,3,4,7,2
2022-11,32,4,3,9,2
2022-12,32,5,3,9,2
2023-01,13,4,3,7,2
2023-02,10,3,4,7,2
2023-03,8,3,4,7,1
2023-04,6,3,4,7,1
2023-05,5,3,4,7,1
2023-06,5,2,4,6,1
2023-07,4,2,4,5,1
2023-08,6,2,4,6,1
2023-09,12,3,4,6,2
2023-10,17,3,4,6,1
2023-11,16,3,3,7,2
2023-12,22,5,3,8,2
2024-01,18,4,3,7,2
2024-02,16,4,4,7,2
2024-03,11,4,4,6,1
2024-04,9,3,4,6,1
2024-05,7,3,4,6,1
2024-06,6,3,3,5,1
2024-07,5,2,3,5,1
2024-08,7,2,3,5,1
2024-09,12,3,3,6,1
2024-10,15,3,3,5,1
